Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Normalised Votes
Bhagwan Shri Krishna,1985,138,"Action, Adventure, Fantasy",6.0,10,Ramkumar Bohra,Ajit Bhalla,Kumud Bole,Manher Desai,0.18518518518518517
Bhagyawan,1994,136,Drama,4.4,68,S.K. Subash,Govinda,Juhi Chawla,Pran,0.2839248434237996
Bhai,1997,147,"Action, Drama",5.1,353,Deepak S. Shivdasani,Sunil Shetty,Pooja Batra,Sonali Bendre,1.6418604651162791
Bhai Bahen,1969,151,"Drama, Family",4.9,24,A. Bhimsingh,Ashok Kumar,Sunil Dutt,Nutan,0.5714285714285714
Bhai Bhai,1997,172,Action,3.8,24,Sikander Bharti,Manek Bedi,Samrat Mukherjee,Megha,0.11162790697674418
Bhai Ho To Aisa,1972,131,"Action, Comedy, Drama",5.7,37,Manmohan Desai,Jeetendra,Hema Malini,Shatrughan Sinha,1.121212121212121
Bhai Thakur,2000,118,"Action, Drama",3.2,9,William Hunt,Raja,Willy,Dharmendra,0.03125
Bhai-Bahen,1959,136,"Drama, Family",6.0,5,G.P. Sippy,Daisy Irani,Rajan Kapoor,Kathana,0.15625
Bhai-Bhai,1956,164,Drama,5.8,15,M.V. Raman,Ashok Kumar,Kishore Kumar,Nimmi,0.9375
Bhairav,2001,133,Action,4.6,29,T.L.V. Prasad,Hemant Birje,Mithun Chakraborty,Jack Gaud,0.0914826498422713
Bhairava Dweepam,1994,162,"Action, Adventure, Comedy",7.8,533,Singeetam Srinivasa Rao,Nandamuri Balakrishna,Roja,Satyanarayana Kaikala,2.2254697286012526
Bhairavi,1996,145,"Drama, Musical, Romance",5.3,35,Aruna Raje,Ashwini Bhave,Sridhar,Manohar Singh,0.17412935323383086
Bhakta Siriyala,1980,154,"Biography, Drama, Musical",7.1,19,Hunsur Krishnamurthy,Arathi,K.S. Ashwath,Sharapanjara Iyengar,0.4318181818181818
Bhakti Mein Shakti,1979,140,"Adventure, Drama, History",7.5,13,Dara Singh,Dara Singh,Satish Kaul,Bharat Bhushan,0.2549019607843137
Bhala Manus,1976,138,"Drama, Romance",4.6,11,Vishwamitra,Randhir Kapoor,Neetu Singh,Aruna Irani,0.22916666666666666
